S.No.175,Name of the customer,Place,Inv. No.,Inv. Date,DAYS OF INVOICE,Invoice Value,Amount Pending,PAYMENT RECIEVED DATE,Remarks,STATUS,,
679,ROHINI TRADERS,ESHAK,OE/21/0679,3/3/2022,1224,61600.00,61600.00,,PDC,N,,
681,SRI LAKSHMI HATCHERIES,RM-HYDERABAD,OE/21/0681,3/3/2022,1224,90000.00,90000.00,,,N,,
688,ESWARA POULTRIES,TANUKU,OE/21/0688,3/8/2022,1219,51000.00,51000.00,,,N,,
698,ANNAPURNA SAI POULTRY FARM @SDPT@TUKKAPUR,KARIMNAGAR,OE/21/0698,3/14/2022,1213,17000.00,17000.00,,,N,,
700,SAI SREE ENTERPRISES,SHADNAGAR,OE/21/0700,3/16/2022,1211,152000.00,152000.00,,,N,,
701,Prasanthi Agritech Pvt Ltd,RM-HYDERABAD,OE/21/0701,3/16/2022,1211,5500.00,5500.00,,,N,,
705,INDBRO RESEARCH & BREEDING FARMS PVT. LTD,RM-HYDERABAD,OE/21/0705,3/17/2022,1210,51500.00,51500.00,,,N,,
706,ROHINI TRADERS,ESHAK,OE/21/0706,3/19/2022,1208,27776.00,27776.00,,PDC,N,,
711,Venkateswara Poultry Farms,KARIMNAGAR,OE/21/0711,3/21/2022,1206,17625.00,17625.00,,,N,,
713,GRACE LAYER POULTRY FARM,SHADNAGAR,OE/21/0713,3/22/2022,1205,117000.00,117000.00,,,N,,
714,HEENA BREEDERS,KARIMNAGAR,OE/21/0714,3/23/2022,1204,20000.00,20000.00,,,N,,
718,Prasanthi Agritech Pvt Ltd,RM-HYDERABAD,OE/21/0718,3/28/2022,1199,11000.00,11000.00,,,N,,
719,Prasanthi Breeders Pvt Ltd,RM-HYDERABAD,OE/21/0719,3/28/2022,1199,11000.00,11000.00,,,N,,
720,Prasanthi Breeding Farms Pvt Ltd,RM-HYDERABAD,OE/21/0720,3/28/2022,1199,16500.00,16500.00,,,N,,
721,Prasanthi Hatcheries Pvt Ltd,RM-HYDERABAD,OE/21/0721,3/28/2022,1199,16500.00,16500.00,,,N,,
724,SRINIVASA POULTRY MEDICALS,TANUKU,OE/21/0724,3/31/2022,1196,301920.00,275898.00,,,N,,
726,P RANGARAO POULTRY FARM,TANUKU,OE/21/0726,3/31/2022,1196,36000.00,36000.00,,,N,,
727,LOHITAAKSH POULTRY AND VET MEDICAL,VIJAYAWADA,OE/21/0727,3/31/2022,1196,201000.00,86756.00,,,N,,
1,KALINGA BREEDING FARMS PVT LTD,RM-HYDERABAD,OE/22-23/0001,4/1/2022,1195,112000.00,112000.00,,,N,,
4,HEENA BREEDERS,KARIMNAGAR,OE/22-23/0004,4/4/2022,1192,20000.00,20000.00,,,N,,
6,SRI LAKSHMI HATCHERIES,RM-HYDERABAD,OE/22-23/0006,4/4/2022,1192,90000.00,90000.00,,,N,,
7,ANDHRA POULTRY NEEDS,VIJAYAWADA,OE/22-23/0007,4/4/2022,1192,44352.00,44352.00,,,N,,
8,SRI RAMA POULTRIES,TANUKU,OE/22-23/0008,4/4/2022,1192,36000.00,36000.00,,,N,,
9,SUPRAJA ENTERPRISES,TANUKU,OE/22-23/0009,4/4/2022,1192,92000.00,92000.00,,,N,,
11,INDBRO RESEARCH & BREEDING FARMS PVT. LTD,RM-HYDERABAD,OE/22-23/0011,4/5/2022,1191,68500.00,68500.00,,,N,,
13,LOHITAAKSH POULTRY AND VET MEDICAL,VIJAYAWADA,OE/22-23/0013,4/6/2022,1190,52800.00,52800.00,,,N,,
16,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0016,4/8/2022,1188,33000.00,33000.00,,,N,,
23,R.V.V. AGRI FEEDS PVT. LTD,AP-TS INSTITUTIONAL,OE/22-23/0023,4/9/2022,1187,172800.00,172800.00,,,N,,
24,ROHINI TRADERS,AP-TS INSTITUTIONAL,OE/22-23/0024,4/9/2022,1187,40477.00,40477.00,,PDC,N,,
25,KOHINOOR HATCHERIES PVT LTD,RM-HYDERABAD,OE/22-23/0025,4/9/2022,1187,22680.00,22680.00,,,N,,
26,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0026,4/9/2022,1187,34000.00,34000.00,,,N,,
29,KOHINOOR HATCHERIES PVT LTD,RM-HYDERABAD,OE/22-23/0029,4/14/2022,1182,31752.00,31752.00,,,N,,
31,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0031,4/14/2022,1182,62093.00,62093.00,,,N,,
32,SRI KRISHNAVENI POULTRY NEEDS,VIJAYAWADA,OE/22-23/0032,4/15/2022,1181,29971.00,29971.00,,,N,,
33,ROHINI TRADERS,AP-TS INSTITUTIONAL,OE/22-23/0033,4/16/2022,1180,37330.00,37330.00,,,N,,
34,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0034,4/16/2022,1180,136000.00,136000.00,,,N,,
35,HEENA BREEDERS,KARIMNAGAR,OE/22-23/0035,4/18/2022,1178,20000.00,20000.00,,,N,,
36,INDBRO RESEARCH & BREEDING FARMS PVT. LTD,RM-HYDERABAD,OE/22-23/0036,4/18/2022,1178,17500.00,17500.00,,,N,,
38,SRI KRISHNAVENI POULTRY NEEDS,VIJAYAWADA,OE/22-23/0038,4/18/2022,1178,20832.00,20832.00,,,N,,
39,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0039,4/19/2022,1177,54000.00,54000.00,,,N,,
41,SUPRAJA ENTERPRISES,TANUKU,OE/22-23/0041,4/20/2022,1176,83000.00,83000.00,,,N,,
42,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0042,4/20/2022,1176,82790.00,82790.00,,,N,,
45,SASIDHAR POULTRIES PVT LTD,TANUKU,OE/22-23/0045,4/21/2022,1175,304000.00,304000.00,,,N,,
46,Prasanthi Agritech Pvt Ltd,RM-HYDERABAD,OE/22-23/0046,4/21/2022,1175,5675.00,5675.00,,,N,,
47,Prasanthi Breeders Pvt Ltd,RM-HYDERABAD,OE/22-23/0047,4/21/2022,1175,5675.00,5675.00,,,N,,
49,SWASTIC HATCHERIES,KARIMNAGAR,OE/22-23/0049,4/25/2022,1171,34500.00,34500.00,,,N,,
50,LAKSHMI POULTRY FARMS,TANUKU,OE/22-23/0050,4/25/2022,1171,87000.00,6400.00,80600/-06/06/22::6400/-PENDING,80600/-06/06/22::6400/-PENDING,PN,,
54,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0054,4/27/2022,1169,85000.00,85000.00,,,N,,
56,LOHITAAKSH POULTRY AND VET MEDICAL,VIJAYAWADA,OE/22-23/0056,4/27/2022,1169,113700.00,113700.00,,,N,,
57,B SRIRAMULU POULTRIES,TANUKU,OE/22-23/0057,4/27/2022,1169,34000.00,34000.00,,,N,,
58,Prasanthi Agritech Pvt Ltd,RM-HYDERABAD,OE/22-23/0058,4/30/2022,1166,11350.00,11350.00,,,N,,
59,Prasanthi Breeders Pvt Ltd,RM-HYDERABAD,OE/22-23/0059,4/30/2022,1166,11350.00,11350.00,,,N,,
60,Prasanthi Breeding Farms Pvt Ltd,RM-HYDERABAD,OE/22-23/0060,4/30/2022,1166,5675.00,5675.00,,,N,,
61,Prasanthi Hatcheries Pvt Ltd,RM-HYDERABAD,OE/22-23/0061,4/30/2022,1166,11350.00,11350.00,,,N,,
63,SR HATCHERIES PVT LTD,RM-HYDERABAD,OE/22-23/0063,4/30/2022,1166,50400.00,50400.00,,,N,,
67,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0067,5/4/2022,1162,170000.00,170000.00,,,N,,
72,HEENA BREEDERS,KARIMNAGAR,OE/22-23/0072,5/9/2022,1157,20000.00,20000.00,,,N,,
75,LOHITAAKSH POULTRY AND VET MEDICAL,VIJAYAWADA,OE/22-23/0075,5/11/2022,1155,91500.00,91500.00,,,N,,
76,B SRIRAMULU POULTRIES,TANUKU,OE/22-23/0076,5/13/2022,1153,55200.00,55200.00,,,N,,
77,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0077,5/13/2022,1153,82500.00,82500.00,,,N,,
79,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0079,5/14/2022,1152,153000.00,153000.00,,,N,,
82,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0082,5/14/2022,1152,34000.00,34000.00,,,N,,
